ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces
4/3/19,336094.9375,SFH,60025,1600,8,2,0,Yes,3,0,1
4/6/18,279991.5625,SFH,60076,1650,6,1,1,No,2,0,1
2/14/19,218004.6875,Condo,60202,1700,6,2,0,No,3,0,0
6/16/20,1588750,SFH,60091,6631,16,6,2,Yes,5,1,3
2/2/18,491600.5703,SFH,60062,2351,8,2,1,No,4,0,2
6/18/19,385579.375,SFH,60076,1459,7,2,0,No,3,0,2
1/13/20,404875,Condo,60091,1400,5,2,0,No,2,0,1
4/19/18,390372.8516,SFH,60062,1400,7,2,0,Yes,3,0,1.5
6/3/20,2100225,SFH,60091,6500,11,6,1,Yes,5,1,3
7/1/20,594500,SFH,60026,2652,9,2,1,No,4,0,2
9/30/20,712375,SFH,60091,2559,9,2,1,Yes,4,0,3
3/29/19,378225,SFH,60025,1360,7,2,0,No,4,0,2
5/26/17,355979.6572,SFH,60062,1250,6,1,0,No,2,0,2
10/15/20,921475,SFH,60026,6000,15,3,2,Yes,5,0,2
11/13/19,241643.75,SFH,60053,1367,6,2,0,Yes,3,0,2
9/14/20,656000,SFH,60062,3139,9,3,1,No,5,0,2
11/30/20,1127500,SFH,60025,4036,13,4,1,Yes,5,1,3
11/14/17,949279.0859,SFH,60062,4100,15,3,2,Yes,5,0,2.5
9/13/17,529830.1875,SFH,60076,2099,8,2,1,Yes,4,0,1
9/14/20,97375,SFH,60002,1095,6,1,0,No,2,0,0
6/6/19,118195.3125,Condo,60202,750,4,1,0,No,1,0,0
4/15/20,384272.5,SFH,60002,4085,8,2,1,No,3,0,2.5
7/24/19,740690.625,Townhouse,60026,3625,8,3,1,No,3,0,2
9/29/17,860974.0547,SFH,60062,2592,11,2,1,No,4,1,2.5
4/14/20,204897.5,Condo,60077,1255,6,2,0,No,3,0,1
2/25/20,246000,Condo,60077,1458,6,2,0,No,2,0,1
9/8/17,331143.8672,SFH,60077,7750,7,1,1,No,3,0,1
2/28/20,263937.5,Condo,60062,1450,5,2,0,No,2,0,1
8/28/20,333125,SFH,60201,1017,6,1,0,No,2,0,0
8/14/20,384375,SFH,60025,1498,7,2,0,No,3,0,2
8/15/19,457021.875,Townhouse,60202,2029,6,2,1,No,2,0,2
11/4/20,312625,SFH,60076,1553,7,1,1,No,3,0,0
3/12/18,312298.2812,SFH,60076,1747,7,2,0,No,4,0,0
5/27/20,333125,SFH,60076,1300,7,2,1,Yes,3,0,0
11/23/20,466375,SFH,60077,2730,10,3,0,No,5,0,2.5
4/5/19,730184.375,SFH,60091,2424,9,4,1,No,4,0,0
6/1/20,171175,Condo,60002,1505,6,2,2,Yes,2,0,2
7/29/19,406591.875,SFH,60201,1145,7,2,0,Yes,3,0,0
8/29/19,267909.375,Condo,60201,1400,5,2,0,No,2,0,0
12/2/20,511475,SFH,60091,2846,10,2,0,Yes,4,0,2.5
6/6/19,1376318.75,SFH,60025,5434,11,6,1,Yes,4,1,3
9/9/20,148625,SFH,60002,1114,5,1,0,No,3,0,1
12/27/19,331997.5,SFH,60053,1500,8,2,1,No,3,1,2
